ID,Título,Categoria,Status,Versão / Sistema,Unnamed: 5
1413,Emitindo Notas Fiscais no ClippFácil e 360,ClippFácil,Publicado,ClippFácil 360,
1414,Configurando NF-e no ClippFácil,ClippFácil,Publicado,ClippFácil 360,
1420,Emitindo NFC-e pelo Aplicativo ClippFácil,ClippFácil,Publicado,ClippFácil 360,
1424,Configurando a NFC-e - ClippFácil e 360,ClippFácil,Publicado,ClippFácil 360,
1426,Cadastro de produtos no ClippFácil e 360,ClippFácil,Publicado,ClippFácil 360,
1432,Cadastro de Clientes - ClippFácil,ClippFácil,Publicado,ClippFácil 360,
1434,This XML is not valid. Element,ClippFácil,Publicado,ClippFácil 360,
1435,Cadastro de Naturezas e Tributações - ClippFácil,ClippFácil,Publicado,ClippFácil 360,
1436,Relatórios no ClippFácil,ClippFácil,Publicado,ClippFácil 360,
1437,Pedidos e Orçamentos - ClippFácil,ClippFácil,Publicado,ClippFácil 360,
1441,Instalando Certificado A3 no ClippFácil,ClippFácil,Publicado,ClippFácil 360,
1465,Duplicidade de NFe ou Digest Value do Documento não Confere - ClippFácil,Nota Fiscal Eletrônica - NFe,Publicado,ClippFácil 360,
1469,Devolução de Compra - ClippFácil,Nota Fiscal Eletrônica - NFe,Publicado,ClippFácil 360,
1470,Devolução de Venda - ClippFácil,Nota Fiscal de Compra,Publicado,ClippFácil 360,
1474,Carta de Correção Eletrônica (CCe) - ClippFácil,Nota Fiscal Eletrônica - NFe,Publicado,ClippFácil 360,
1484,ECommerce - ClippFácil e 360,Integrações,Publicado,ClippFácil 360,
1512,This XML is not valid. Element xLgr - Ao transmitir NFe no ClippFácil,Nota Fiscal Eletrônica - NFe,Publicado,ClippFácil 360,
1513,Configuração do boleto do Sicoob/Bancoob - ClippFácil e Clipp360,Contas a Receber/Pagar,Publicado,ClippFácil 360,
1518,FALHA: O conjunto de chaves não está definido - ClippFácil,Nota Fiscal Eletrônica - NFe,Publicado,ClippFácil 360,
1527,Manual Online - ClippFácil,Manuais,Publicado,ClippFácil 360,
1536,Registro de Inventário - ClippFácil,Relatórios,Publicado,ClippFácil 360,
1538,Configurações - ClippFácil,Estoque,Publicado,ClippFácil 360,
1539,Meu Perfil - ClippFácil,ClippFácil,Publicado,ClippFácil 360,
