ID,Título,Categoria,Status,Versão / Sistema,Unnamed: 5
1449,Baixando e Instalando,Manuais,Publicado,ClippMEI CPF,
1450,Configurando Módulo Frente de Caixa - ClippMEI,Manuais,Publicado,ClippMEI CPF,
1451,Emitindo Documentos de saída - ClippMEI,Manuais,Publicado,ClippMEI CPF,
1452,Gerenciador de documentos de saída no ClippMEI,Manuais,Publicado,ClippMEI CPF,
1453,Guia do ClippMEI,Manuais,Publicado,ClippMEI CPF,
1454,Cadastro de Produtos - ClippMEI,Manuais,Publicado,ClippMEI CPF,
1455,Relatórios ClippMEI,Manuais,Publicado,ClippMEI CPF,
1456,Manual Online - ClippMEI,Manuais,Publicado,ClippMEI CPF,
1457,Cadastro de CFOP no ClippMEI,Manuais,Publicado,ClippMEI CPF,
1458,Parâmetros do Sistema - ClippMEI,Manuais,Publicado,ClippMEI CPF,
1478,Dashboard clippMEI,Dashboard Fiscal,Publicado,ClippMEI CPF,
1481,Pedidos e Orçamentos - ClippMei,Orçamento / Pedido de venda - DAV,Publicado,ClippMEI CPF,
1483,Configurações Orçamentos e Pedidos - ClippMei,Orçamento / Pedido de venda - DAV,Publicado,ClippMEI CPF,
1486,Kit - ClippMei,Estoque,Publicado,ClippMEI CPF,
1488,Controle de Lotes,Estoque,Publicado,ClippMEI CPF,
1489,Como lançar uma nota fiscal de compra - ClippMei,Nota Fiscal de Compra,Publicado,ClippMEI CPF,
1491,Cadastro de parcelamentos - ClippMei,Cadastros,Publicado,ClippMEI CPF,
1492,Cadastro do Emitente - ClippMei,Cadastros,Publicado,ClippMEI CPF,
1493,Nota de Devolução - ClippMei,Nota Fiscal de Compra,Publicado,ClippMEI CPF,
1494,Importação de XML - ClippMei,Nota Fiscal de Compra,Publicado,ClippMEI CPF,
1503,Ordem de Serviço - ClippMei,Manuais,Publicado,ClippMEI CPF,
1504,Configuração da Ordem de Serviço - ClippMei,Clipp Service,Publicado,ClippMEI CPF,
1505,Cadastro de Objetos - Ordem de Serviço ClippMei,Manuais,Publicado,ClippMEI CPF,
1506,Lançamento de Ordem de Serviço - ClippMEi,Ordem de Serviço e Pré-Venda,Publicado,ClippMEI CPF,
1507,Finalizando uma Ordem de Serviço - ClippMei,Ordem de Serviço e Pré-Venda,Publicado,ClippMEI CPF,
1508,Agendamentos - ClippMei,Ordem de Serviço e Pré-Venda,Publicado,ClippMEI CPF,
1509,Relatórios Ordens de Serviço - ClippMei,Ordem de Serviço e Pré-Venda,Publicado,ClippMEI CPF,
1510,Etiquetas de Ordem de Serviço - ClippMei,Manuais,Publicado,ClippMEI CPF,
1575,Meios de Pagamento - ClippMei,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,ClippMEI CPF,
1582,Balança de Checkout - ClippMEI,Estoque,Publicado,ClippMEI CPF,
1606,Guia do Cheff - ClippMEI,Pré-Venda,Publicado,ClippMEI CPF,
1608,Configurações - CheffMEI,Pré-Venda,Publicado,ClippMEI CPF,
1609,Lançamento na Mesa e Comanda - CheffMEI,Pré-Venda,Publicado,ClippMEI CPF,
1611,Menu Pedidos e Entregas - ClippMEI,Pré-Venda,Publicado,ClippMEI CPF,
1612,Aguardando Finalização - ClippMEI,Pré-Venda,Publicado,ClippMEI CPF,
