ID,Título,Categoria,Status,Versão / Sistema,Unnamed: 5
151,Informar número do item e do pedido de compra na Nota,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
155,Mensagem: Classe não registrada / Seleção de Certificado Cancelada,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
158,"""Alíquota de ICMS estadual: 0,00"" ao abrir Emissor de Cupom Fiscal",Inicialização do programa,Publicado,Clipp Store 2020,
159,JPEG error #53,Relatórios,Publicado,Clipp Store 2020,
163,Ao abrir o Emissor de Cupom Fiscal o mesmo é finalizado sem apresentar nenhuma mensagem,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
167,Guia de instalação para Impressora Fiscal Sweda na porta USB,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
169,Guia de instalação do Clipp Store no Terminal (sem Impressora Fiscal),Instalação,Publicado,Clipp Store 2020,
170,Guia de instalação do Clipp Store no Terminal (com Impressora Fiscal),Instalação,Publicado,Clipp Store 2020,
172,Rejeição 328: CFOP de mercadoria para NF-e que não tem finalidade de devolução de mercadoria,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
173,"""Arquivos do PAF-ECF inválidos"" ao abrir o Clipp Store",Inicialização do programa,Publicado,Clipp Store 2020,
177,"Mensagem: ""O conjunto de chaves não está definido"" ou ""Erro ao criar a chave do CSP""",Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
183,Guia de instalação para Impressora Fiscal Bematech na porta USB,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
198,XML inválido ou sem protocolo de autorização ou Digest Value do documento não confere ou argument out of range- NFe 2,Base de Dados,Publicado,Clipp Store 2020,
199,XML inválido ou sem protocolo de autorização ou Digest Value do documento não confere ou argument out of range- NFe,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
209,Enviando Base de Dados através de um link FTP,Base de Dados,Publicado,Clipp Store 2020,
213,"""Is not a valid integer value"" ao emitir Nota Fiscal Eletrônica no Clipp Store",Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
224,Habilitar exceções – Avast,Diversos,Publicado,Clipp Store 2020,
228,Liberar acesso completo à pasta CompuFour no servidor,Instalação,Publicado,Clipp Store 2020,
229,Download do Instalador através do Site – Clipp Store,Instalação,Publicado,Clipp Store 2020,
230,Lote em processamento ao emitir NFe,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
233,"Mensagem: ""Não foi possível encontrar o módulo especificado""",Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
238,"""Falha na conexão com o servidor Firebird"" ao tentar abrir o Clipp Store",Inicialização do programa,Publicado,Clipp Store 2020,
250,Backup na Nuvem - Clipp Store,Cópia de Segurança - Backup,Publicado,Clipp Store 2020,
262,Arquivo de Redução Z,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
271,CAT52,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
280,Alteração da velocidade em impressoras Daruma,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
281,A impressora retornou NAK - comando não executado,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
282,Rejeição 656: Consumo Indevido,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
285,Rejeição 205: NF-e está denegada na base de dados da SEFAZ,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
288,Guia de instalação para Impressora Fiscal Daruma na porta USB,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
289,Rejeição 204: Duplicidade de NF-e,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
292,Campos obrigatórios para emissão da Nota Fiscal Eletrônica - NFe,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
294,O valor do Grande Total (GT) armazenado em arquivo é diferente do totalizador da impressora fiscal,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
299,Ativando os LOGs do Clipp e Impressoras Fiscais Daruma,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
300,Arquivos de LOG do Clipp e Impressoras Fiscais Bematech,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
305,Erro de comunicação – Bematech,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
306,Erro de comunicação – Daruma,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
313,Divergências apresentadas ao validar arquivo Sintegra,Sintegra,Publicado,Clipp Store 2020,
316,Ocorreu um erro inesperado! Código: 2 ou Código: 26 ou Código 3,Diversos,Publicado,Clipp Store 2020,
334,Redefinir Senhas do Sistema,Inicialização do programa,Publicado,Clipp Store 2020,
352,Países e códigos para nota de importação e exportação,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
356,Configurar balança de CheckOut,Manuais,Publicado,Clipp Store 2020,
375,Executar Script de Serial,Base de Dados,Publicado,Clipp Store 2020,
378,Calendário de Obrigatoriedade - Nota Fiscal de Consumidor Eletrônica (NFC-e),Nota Eletrônica do Consumidor - NFCe | SAT,Publicado,Clipp Store 2020,
386,Inventário,Estoque,Publicado,Clipp Store 2020,
389,"Mensagem: ""O sistema identificou que para alguns itens dessa venda não foi encontrado na tabela do IBPT o NCM/NBS correspondente""",Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
390,Arquivo MFD,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
395,Reliberação de Impressora Fiscal,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
396,TEF – Transação Eletrônica de Fundos,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
397,ATO COTEPE 17/04 - BEMATECH 4200 TH FI,Emissor de Cupom Fiscal - ECF,Publicado,Clipp Store 2020,
401,Cadastrar Licença de Uso Adicional para o Clipp,Aplicativos Comerciais,Publicado,Clipp Store 2020,
403,Contábil.exe ClippStore,Diversos,Publicado,Clipp Store 2020,
407,Arredondamento e Truncamento,Diversos,Publicado,Clipp Store 2020,
409,Nota Fiscal de Produtor Rural,Nota Fiscal de Compra,Publicado,Clipp Store 2020,
417,Periféricos Compatíveis,Manuais,Publicado,Clipp Store 2020,
