ID,Título,Categoria,Status,Versão / Sistema,Unnamed: 5
376,Extraindo informações de base de dados em Access - Conversão,Conversão,Publicado,Revendas,
377,Extraindo informações de base de dados em Firebird (.xls ou .csv) - Conversão,Conversão,Publicado,Revendas,
380,Conversor CSV,Conversão,Publicado,Revendas,
381,Extraindo informações de Base de Dados MySQL - Conversão,Conversão,Publicado,Revendas,
557,Conversão de Dados,Conversão,Publicado,Revendas,
878,Instalação e Configuração do Emulador Bematech 4200TH Fi e Sweda.,Emissor de Cupom Fiscal - ECF,Publicado,Revendas,
1281,Guia de Configuração para utilização do Mercado Livre,Mercado Livre,Publicado,Revendas,
1681,Conversor de dados PRO,Relatórios,Publicado,Revendas,
1683,Painel de renovações - Revendas,Manuais,Publicado,Revendas,
1685,Rejeicao: Operacao com medicamentos e nao informado os campos de rastreabilidade,Nota Fiscal Eletrônica - NFe,Publicado,Revendas,
1751,Acessar sendo parceiro,Manuais,Publicado,Revendas,
1904,Trocando serial no script de comandos,Nota Fiscal Eletrônica - NFe,Publicado,Revendas,
