ID,Título,Categoria,Status,Versão / Sistema,Unnamed: 5
1550,Bancos e Remessas suportados pelo ClippFácil / 360 e Zweb,Financeiro,Publicado,Zweb,
1692,Guia da NFS-e - Nota Fiscal de Serviço Eletrônica - Zweb,NFS-e,Publicado,Zweb,
1827,Primeiro acesso - Zweb,Manuais,Publicado,Zweb,
1828,Cadastrando um usuário - Zweb,Zweb,Publicado,Zweb,
1829,Configurações - Zweb,Zweb,Publicado,Zweb,
1830,Cadastrando clientes - Zweb,Zweb,Publicado,Zweb,
1834,Cadastro de produtos e serviços - Zweb,Zweb,Publicado,Zweb,
1835,Cadastro de Produtor Rural - Zweb,Zweb,Publicado,Zweb,
1836,Cadastro de Fornecedores - Zweb,Zweb,Publicado,Zweb,
1837,Cadastro de Grupos e Unidades de Medida - Zweb,Zweb,Publicado,Zweb,
1838,Cadastro de Naturezas e Tributações - Zweb,Zweb,Publicado,Zweb,
1840,Replicar Alterações - Zweb,Zweb,Publicado,Zweb,
1841,Movimentações Financeiras - Zweb,Zweb,Publicado,Zweb,
1842,Lançando nota de Compra - Zweb,Zweb,Publicado,Zweb,
1843,Importando XML - Zweb,Zweb,Publicado,Zweb,
1844,Devolução de Venda - Zweb,Zweb,Publicado,Zweb,
1845,Maquininhas compatíveis com AppsCloud e ZPOS,Manuais,Publicado,Zweb,
1846,Cadastros no Financeiro - Zweb,Zweb,Publicado,Zweb,
1847,Configurando NF-e - Zweb,Zweb,Publicado,Zweb,
1848,Emitindo Notas Fiscais - Zweb,Zweb,Publicado,Zweb,
1849,Configurando a NFC-e - Zweb,Zweb,Publicado,Zweb,
1850,Carta de Correção Eletrônica (CCe) - Zweb,Zweb,Publicado,Zweb,
1851,Emitindo NFC-e - Zweb,Zweb,Publicado,Zweb,
1852,Duplicidade de NFe ou Digest Value do Documento não Confere - Zweb,Zweb,Publicado,Zweb,
1854,Instalando e configurando o integrador para uso com certificado A3 e SAT-SP - Zweb,Zweb,Publicado,Zweb,
1855,Relatórios - Zweb,Zweb,Publicado,Zweb,
1856,ECommerce - Zweb,Zweb,Publicado,Zweb,
1857,Pedidos e Orçamentos - Zweb,Zweb,Publicado,Zweb,
1859,Manual Online - Zweb,Zweb,Publicado,Zweb,
1860,Meu Perfil - Zweb,Zweb,Publicado,Zweb,
1861,Devolução de Compra - Zweb,Zweb,Publicado,Zweb,
1862,Nota Fiscal de Importação - Zweb,Zweb,Publicado,Zweb,
1863,Inventário - Zweb,Zweb,Publicado,Zweb,
1864,MDF-e - Zweb,MDFe,Publicado,Zweb,
1865,Parametrização de Tributos - Zweb,Zweb,Publicado,Zweb,
1866,Parametrização de CFOP - Zweb,Zweb,Publicado,Zweb,
1867,Perfis de Tributação - Zweb,Zweb,Publicado,Zweb,
1869,Informar código de Benefício Fiscal - Zweb,Zweb,Publicado,Zweb,
1870,Configuração da NFS-e (Nota Fiscal de Serviço Eletrônica) - Zweb,NFS-e,Publicado,Zweb,
1871,Cadastro do emitente para emissão de NFS-e - Zweb,NFS-e,Publicado,Zweb,
1872,Cadastro de tributações e naturezas para uso na NFSe - Zweb,NFS-e,Publicado,Zweb,
1873,Emissão da NFS-e no Zweb,NFS-e,Publicado,Zweb,
1874,Formas de Pagamento - Zweb,Zweb,Publicado,Zweb,
1875,Manifestação de Destinatário Eletrônica (MD-e) -Zweb,Zweb,Publicado,Zweb,
1876,Ordem de Serviço - Zweb,Zweb,Publicado,Zweb,
1877,Importando XML - Zweb,Nota Fiscal de Compra,Publicado,Zweb,
1878,Configuração de Favoritos - Zweb,Zweb,Publicado,Zweb,
1879,Cadastro de administradoras e Bandeiras de Cartão - Zweb,Zweb,Publicado,Zweb,
1880,Cadastro de Agenda - Zweb,Cadastros,Publicado,Zweb,
1881,Ordem de Compra - Zweb,Nota Fiscal de Compra,Publicado,Zweb,
1882,Produtos com Grade - Zweb,Estoque,Publicado,Zweb,
1883,Sintegra - Zweb,Sintegra,Publicado,Zweb,
1884,SPED EFD - Zweb,SPED Fiscal,Publicado,Zweb,
1885,Mercado Livre - Ecommerce e Marketplace - Zweb,Zweb,Publicado,Zweb,
1886,Vendas no PDV - Zweb,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Zweb,
1887,Importar dados via XML - Zweb,Zweb,Publicado,Zweb,
1889,Geração de Boletos - Zweb,Zweb,Publicado,Zweb,
1890,Etiquetas - Terminal Zweb,Zweb,Publicado,Zweb,
1895,Venda no PIX pelo PDV - Zweb,Zweb,Publicado,Zweb,
1896,Balança de CheckOut - Zweb,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Zweb,
1898,Notas de Energia Elétrica / Água Canalizada / Gás / Comunicação e Telecomunicação - Zweb,Zweb,Publicado,Zweb,
1899,Balança de Etiqueta - Zweb,Zweb,Publicado,Zweb,
1900,Layout Inválido - Balança de Etiqueta - Zweb,Zweb,Publicado,Zweb,
1906,Rejeição: Pagamento com cartão de crédito em sistema de automação não integrado - Zweb,Nota Fiscal Eletrônica - NFe,Publicado,Zweb,
1907,Integração ZPOS Vero Banrisul - Zweb,Zweb,Publicado,Zweb,
1908,Configurando Stone - Zweb,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Zweb,
1909,PagSeguro - Zweb,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Zweb,
1910,Configurações para AppsCloud e ZPOS - Zweb,Nota Fiscal do Consumidor Eletrônica - NFCe,Incompleto,Zweb,
1912,Solicitação de Liberação da maquininha da Cielo - Cliente,Integrações,Publicado,Zweb,
1914,Conhecimento de frete - Zweb,CT-e,Publicado,Zweb,
1915,Comunicando com a maquininha Sicredi/Caixa (ZPOS) - Zweb,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Zweb,
1920,Conversões de Banco de dados - Informativos,Conversão,Publicado,Zweb,
1924,Integração ZPOS Rede - Zweb,Cadastros,Publicado,Zweb,
1928,Integração com a Cielo (ZPOS) - Zweb,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Zweb,
1933,Relatório DRE - Zweb,Relatórios,Publicado,Zweb,
1935,Tabela de preços - Zweb,Financeiro,Publicado,Zweb,
1937,Terminal Zweb,Zweb,Publicado,Zweb,
1938,Como Inutilizar e Cancelar NF-e - Zweb,Zweb,Publicado,Zweb,
1939,Como Inutilizar e Cancelar NFC-e - Zweb,Zweb,Publicado,Zweb,
1942,Não está gerando PDF no Iphone (Safári) - ClippFácil / 360 / Zweb,Pré-Venda,Publicado,Zweb,
1944,Venda Gerencial - ZDesk,Zweb,Publicado,Zweb,
1956,Requisitos mínimos para utilização ZetaDesk / Terminal Zeta,Pré-Venda,Publicado,Zweb,
1958,Devolução de NFC-e no Zweb,Nota Fiscal Eletrônica - NFe,Publicado,Zweb,
1973,Configuração AppsCloud - Maquininha Sicredi,Manuais,Publicado,Zweb,
1984,"""Rejeição: 974 - CNPJ do responsável técnico diverge do cadastrado"" no estado de Paraná",Manuais,Publicado,Zweb,
